# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
3.271964185786233884e+03	1.417765794861200561e+02	6.847661906242379359e+01
3.319541596717030188e+03	1.412072375111724227e+02	6.865227352273376482e+01
3.367119007647826948e+03	1.406514833385573411e+02	6.891229512748338948e+01
3.414696418578623252e+03	1.401021915905718629e+02	6.923369145414407910e+01
3.462273829509420011e+03	1.395522368895129262e+02	6.959553691323124269e+01
3.509851240440216316e+03	1.389944938576776110e+02	6.997897274830424408e+01
3.557428651371013075e+03	1.384218371173629123e+02	7.036720703596651560e+01
3.605006062301809379e+03	1.378271412908658533e+02	7.074551468586544445e+01
3.652583473232606138e+03	1.372032810004834289e+02	7.110123744069241525e+01
3.700160884163402443e+03	1.365431308685126908e+02	7.142378387618282432e+01
3.747738295094199202e+03	1.358395655172506338e+02	7.170462940111606542e+01
3.795315706024995507e+03	1.350854595689942812e+02	7.193731625731552981e+01
3.842893116955791811e+03	1.342736876460406563e+02	7.211745351964857775e+01
3.890470527886588570e+03	1.333971243706867540e+02	7.224271709602662384e+01
3.938047938817384875e+03	1.324486443652296259e+02	7.231284972740502326e+01
3.985625349748181634e+03	1.314211222519662385e+02	7.232966098778317132e+01
4.033202760678977938e+03	1.303074326531936435e+02	7.229702728420444657e+01
4.080780171609774698e+03	1.291004501912088642e+02	7.222089185675622502e+01
4.128357582540571457e+03	1.277930494883088812e+02	7.210926477856988015e+01
4.175934993471367306e+03	1.263781051667907747e+02	7.197222295582076868e+01
4.223512404402164066e+03	1.248484918489514826e+02	7.182191012772827321e+01
4.271089815332960825e+03	1.231970841570880850e+02	7.167253686655575962e+01
4.318667226263756675e+03	1.214167567134975911e+02	7.154038057761060543e+01
4.366244637194553434e+03	1.195003841404769673e+02	7.144378549924415722e+01
4.413822048125350193e+03	1.174408410603232653e+02	7.140316270285178746e+01
