# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
1.720761052042529172e+03	9.437853554268615142e+01	6.613769574284378905e+01
1.780253217683267849e+03	9.431216449385105705e+01	6.664765565966133920e+01
1.839745383324006525e+03	9.420449304819587155e+01	6.712529760325539030e+01
1.899237548964745201e+03	9.404790812095642139e+01	6.757914655073487609e+01
1.958729714605483878e+03	9.383479662736850457e+01	6.801588336553979275e+01
2.018221880246222554e+03	9.355754548266794757e+01	6.844034479744121313e+01
2.077714045886961230e+03	9.320854160209054839e+01	6.885552348254127253e+01
2.137206211527699907e+03	9.278017190087213351e+01	6.926256794327321131e+01
2.196698377168438583e+03	9.226482329424851514e+01	6.966078258840131809e+01
2.256190542809177714e+03	9.165488269745549132e+01	7.004762771302098656e+01
2.315682708449916390e+03	9.094273702572888851e+01	7.041871949855867285e+01
2.375174874090655067e+03	9.012077319430451894e+01	7.076783001277189555e+01
2.434667039731393743e+03	8.918137811841819484e+01	7.108688720974926412e+01
2.494159205372132419e+03	8.811693871330572847e+01	7.136597492991046465e+01
2.553651371012871095e+03	8.691984189420293205e+01	7.159333290000625993e+01
2.613143536653609772e+03	8.558247457634561783e+01	7.175535673311847518e+01
2.672635702294348448e+03	8.409722367496961226e+01	7.183659792866002647e+01
2.732127867935087124e+03	8.245647610531071336e+01	7.181976387237489234e+01
2.791620033575825801e+03	8.065261878260471917e+01	7.168571783633815642e+01
2.851112199216564477e+03	7.867803862208748455e+01	7.141347897895595054e+01
2.910604364857303153e+03	7.652512253899479333e+01	7.098022234496548322e+01
2.970096530498041830e+03	7.418625744856245774e+01	7.036127886543505383e+01
3.029588696138780506e+03	7.165383026602629002e+01	6.953013535776402421e+01
3.089080861779519182e+03	6.892022790662213083e+01	6.845843452568286125e+01
3.148573027420257858e+03	6.597783728558577820e+01	6.711597495925305168e+01
