# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
2.553161723559037000e+03	1.168915689767978989e+02	6.963263956298402491e+01
2.607594198843498816e+03	1.162555449176833520e+02	7.015605498763606818e+01
2.662026674127960632e+03	1.156176076479461301e+02	7.057827896102082832e+01
2.716459149412422448e+03	1.149685501260847786e+02	7.092117857302403650e+01
2.770891624696884719e+03	1.142991653105977576e+02	7.120374981774720879e+01
2.825324099981346535e+03	1.136002461599835840e+02	7.144211759350757518e+01
2.879756575265808351e+03	1.128625856327407746e+02	7.164953570283815054e+01
2.934189050550270167e+03	1.120769766873677895e+02	7.183638685248770628e+01
2.988621525834731983e+03	1.112342122823631740e+02	7.201018265342077029e+01
3.043054001119193799e+03	1.103250853762254025e+02	7.217556362081759858e+01
3.097486476403655615e+03	1.093403889274529917e+02	7.233429917407426046e+01
3.151918951688117886e+03	1.082709158945444301e+02	7.248528763680253917e+01
3.206351426972579247e+03	1.071074592359982205e+02	7.262455623682998862e+01
3.260783902257041518e+03	1.058408119103128655e+02	7.274526110619991925e+01
3.315216377541503334e+03	1.044617668759868678e+02	7.283768728117139801e+01
3.369648852825965150e+03	1.029611170915187301e+02	7.288924870221924834e+01
3.424081328110426966e+03	1.013296555154069694e+02	7.288448821403406441e+01
3.478513803394888782e+03	9.955817510615003130e+01	7.280507756552218268e+01
3.532946278679350598e+03	9.763746882224648971e+01	7.262981740980569612e+01
3.587378753963812414e+03	9.555832962219480464e+01	7.233463730422246840e+01
3.641811229248274685e+03	9.331155046449346457e+01	7.189259571032611973e+01
3.696243704532736047e+03	9.088792430764101482e+01	7.127387999388599837e+01
3.750676179817198317e+03	8.827824411013590122e+01	7.044580642488725175e+01
3.805108655101660133e+03	8.547330283047668331e+01	6.937282017753076957e+01
3.859541130386121949e+03	8.246389342716183535e+01	6.801649533023319805e+01
