# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
7.779915602189782476e+03	2.235328467153285033e+02	8.000000000000000000e+01
7.940229147658152215e+03	2.220093869010104868e+02	8.018789329397188226e+01
8.100542693126521954e+03	2.203670701473760403e+02	8.035770037893681206e+01
8.260856238594891693e+03	2.185985786204192323e+02	8.050910475841810410e+01
8.421169784063260522e+03	2.166965944861343019e+02	8.064178993593920097e+01
8.581483329531631171e+03	2.146537999105154029e+02	8.075543941502344580e+01
8.741796875000000000e+03	2.124628770595566891e+02	8.084973669919422434e+01
8.902110420468370648e+03	2.101165080992522860e+02	8.092436529197489392e+01
9.062423965936739478e+03	2.076073751955964610e+02	8.097900869688885450e+01
9.222737511405110126e+03	2.049296461631053035e+02	8.101328105984039496e+01
9.383051056873478956e+03	2.021184534515906535e+02	8.102488408948531173e+01
9.543364602341849604e+03	1.992540674020722804e+02	8.100941222844768674e+01
9.703678147810218434e+03	1.964046079964859359e+02	8.096158170628478956e+01
9.863991693278589082e+03	1.935033696985374547e+02	8.086893785524131317e+01
1.002430523874695791e+04	1.904102845943492355e+02	8.071512411952789989e+01
1.018461878421532856e+04	1.869845504184399658e+02	8.048374488576423857e+01
1.034493232968369739e+04	1.830853649053285039e+02	8.015840454057006070e+01
1.050524587515206804e+04	1.785835313814144456e+02	7.972261161355358183e+01
1.066555942062043687e+04	1.735207518687512049e+02	7.915846308733908643e+01
1.082587296608880752e+04	1.680062028099340807e+02	7.843321532865726908e+01
1.098618651155717635e+04	1.616196635042713581e+02	7.739713186645118981e+01
1.114650005702554699e+04	1.539000696632195968e+02	7.589043430605326535e+01
1.130681360249391582e+04	1.462676123631609926e+02	7.415235722342507074e+01
1.146712714796228647e+04	1.336665294995370061e+02	7.092197595286570788e+01
1.162744069343065530e+04	1.214014598540146324e+02	6.700000000000001421e+01
