9507.920848540147, 92.97810218978101, 65
9452.854128649635, 97.55474452554746, 68
9397.927121350363, 100.44525547445261, 69
9309.967065693431, 106.46715328467153, 71
9320.865647810217, 106.46715328467153, 71
9210.991674270073, 112.48905109489051, 73
9079.162864963502, 119.47445255474454, 75
8859.774178832116, 127.18248175182478, 77
8563.663321167884, 136.8175182481752, 79
8322.479470802919, 143.56204379562044, 80
7752.7315237226285, 155.60583941605842, 81
6975.250912408758, 166.68613138686132, 81
6263.554972627738, 175.83941605839422, 80.5
6033.667883211679, 178.24817518248176, 80
5847.590670620438, 179.93430656934305, 79.5
