# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
3.872833029197080123e+03	1.204379562043795602e+02	7.950000000000000000e+01
3.989697622034671440e+03	1.193611742894227490e+02	7.969123699500146074e+01
4.106562214872262302e+03	1.181970470457734166e+02	7.989234807438383257e+01
4.223426807709854074e+03	1.169501540143567837e+02	8.009532082818168419e+01
4.340291400547444937e+03	1.156250747360980426e+02	8.029214284642954169e+01
4.457155993385036709e+03	1.142263887519224426e+02	8.047480171916195957e+01
4.574020586222627571e+03	1.127586756027551331e+02	8.063528503641347811e+01
4.690885179060218434e+03	1.112265148295213635e+02	8.076558038821869445e+01
4.807749771897810206e+03	1.096344859731463259e+02	8.085767536461213467e+01
4.924614364735401068e+03	1.079871685745552412e+02	8.090355755562833906e+01
5.041478957572991931e+03	1.062891421746732874e+02	8.089521455130187633e+01
5.158343550410583703e+03	1.045449863144256852e+02	8.082463394166728676e+01
5.275208143248174565e+03	1.027592805347376554e+02	8.068380331675912487e+01
5.392072736085765428e+03	1.009366043765344045e+02	8.046471026661194514e+01
5.508937328923357200e+03	9.908153738074112482e+01	8.015934238126031630e+01
5.625801921760948062e+03	9.718998050052134374e+01	7.976029337165199706e+01
5.742666514598539834e+03	9.511194745635447134e+01	7.927034585332756933e+01
5.859531107436130696e+03	9.258701821819390432e+01	7.869788179338281964e+01
5.976395700273722468e+03	8.958646484418177636e+01	7.798852057955693340e+01
6.093260293111313331e+03	8.631136458643702269e+01	7.702635053417259314e+01
6.210124885948904193e+03	8.288089236735271470e+01	7.574654155286616231e+01
6.326989478786495965e+03	7.902137046704730494e+01	7.429759350157824827e+01
6.443854071624086828e+03	7.434816992503770905e+01	7.245845453213462406e+01
6.560718664461677690e+03	6.924965572966786453e+01	6.987212252882601149e+01
6.677583257299269462e+03	6.310948905109489004e+01	6.800000000000000000e+01
