# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
9.101676551094891693e+03	2.437664233576643937e+02	8.000000000000000000e+01
9.251072555504866614e+03	2.421700620939995758e+02	8.017186556441723155e+01
9.400468559914843354e+03	2.404994357294389147e+02	8.033247553990675272e+01
9.549864564324818275e+03	2.387411615486534231e+02	8.047920827478633043e+01
9.699260568734795015e+03	2.368818568363141424e+02	8.060944211737373166e+01
9.848656573144769936e+03	2.349081388770920285e+02	8.072055541598670914e+01
9.998052577554746676e+03	2.328066249556582363e+02	8.080992651894301559e+01
1.014744858196472160e+04	2.305639323566836367e+02	8.087493377456043220e+01
1.029684458637469652e+04	2.281666783648393562e+02	8.091295553115669748e+01
1.044624059078467326e+04	2.256014802647963791e+02	8.092137013704957837e+01
1.059563659519464818e+04	2.228549553412257183e+02	8.089755594055687027e+01
1.074503259960462492e+04	2.199137208787984434e+02	8.083889128999628326e+01
1.089442860401459984e+04	2.167643941621855106e+02	8.074275453368559852e+01
1.104382460842457658e+04	2.133935924760579610e+02	8.060652401994261140e+01
1.119322061283455150e+04	2.097879331050868927e+02	8.042757809708503203e+01
1.134261661724452642e+04	2.059340333339432334e+02	8.020329511343066997e+01
1.149201262165450316e+04	2.018178524907714007e+02	7.993080933805525490e+01
1.164140862606447809e+04	1.973342591923116061e+02	7.957346351902781123e+01
1.179080463047445301e+04	1.921946739450879704e+02	7.902654746494130222e+01
1.194020063488442975e+04	1.862380625670098198e+02	7.821615062801419072e+01
1.208959663929440649e+04	1.799754529959604952e+02	7.724346347042768457e+01
1.223899264370438141e+04	1.736772901558399553e+02	7.617236729498434045e+01
1.238838864811435633e+04	1.640763318121451277e+02	7.435173122001445734e+01
1.253778465252433307e+04	1.540121713707509343e+02	7.212001886170122589e+01
1.268718065693430799e+04	1.358540145985401466e+02	6.800000000000000000e+01
