# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
4.483796190693430617e+03	1.389854014598540175e+02	7.950000000000000000e+01
4.612089772468065348e+03	1.373090233541887528e+02	7.992589992906275143e+01
4.740383354242700989e+03	1.361761039806931421e+02	8.027475716323458244e+01
4.868676936017335720e+03	1.351811139136567874e+02	8.054332681014341233e+01
4.996970517791971361e+03	1.340328025365311078e+02	8.073333694385814852e+01
5.125264099566606092e+03	1.327064061072469201e+02	8.085811210408694194e+01
5.253557681341240823e+03	1.312150733262708115e+02	8.093262663163234549e+01
5.381851263115876463e+03	1.295719528940694545e+02	8.097185486729691206e+01
5.510144844890511195e+03	1.277901935111094645e+02	8.099077115188319453e+01
5.638438426665146835e+03	1.258830520807469213e+02	8.100413678650235738e+01
5.766732008439781566e+03	1.238724321623696909e+02	8.100968874933272446e+01
5.895025590214416297e+03	1.217934743826067034e+02	8.097690860501387533e+01
6.023319171989051029e+03	1.196470636608485449e+02	8.089307326132104947e+01
6.151612753763686669e+03	1.173986871424552305e+02	8.076593866493328733e+01
6.279906335538321400e+03	1.150123172101861257e+02	8.060413711374326340e+01
6.408199917312957041e+03	1.124519262468005394e+02	8.041630090564356692e+01
6.536493499087591772e+03	1.096814866350578512e+02	8.021106233852688661e+01
6.664787080862226503e+03	1.066649707683456541e+02	7.999705358529699595e+01
6.793080662636862144e+03	1.033706837015483018e+02	7.973195448547349429e+01
6.921374244411496875e+03	9.978356488826233317e+01	7.917782345062617821e+01
7.049667826186132515e+03	9.582616643296664449e+01	7.807409282949643625e+01
7.177961407960767247e+03	9.095287571586132458e+01	7.635629718921947529e+01
7.306254989735401978e+03	8.636406941402383097e+01	7.470227220983679217e+01
7.434548571510036709e+03	7.949635056022465562e+01	7.168179773357779538e+01
7.562842153284672349e+03	7.129927007299269803e+01	6.700000000000000000e+01
