# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
5.094659557481752927e+03	1.587372262773723151e+02	7.950000000000000000e+01
5.238029624771898852e+03	1.574672171004845325e+02	7.989006523541702620e+01
5.381399692062044778e+03	1.560221388515247725e+02	8.024102297517856641e+01
5.524769759352190704e+03	1.544897086327868294e+02	8.052410930448093040e+01
5.668139826642336629e+03	1.529333938808600237e+02	8.072150893832873919e+01
5.811509893932482555e+03	1.513443257394580996e+02	8.084806614679291670e+01
5.954879961222628481e+03	1.497002069824348496e+02	8.092468805674074872e+01
6.098250028512774406e+03	1.479787403836440376e+02	8.097228179503950685e+01
6.241620095802920332e+03	1.461576893819283498e+02	8.101159627529004581e+01
6.384990163093066258e+03	1.442200058558032651e+02	8.104984904801757750e+01
6.528360230383212183e+03	1.421577290812938372e+02	8.107055788445727273e+01
6.671730297673358109e+03	1.399638164283421986e+02	8.105484618240744510e+01
6.815100364963504035e+03	1.376311953743308152e+02	8.098384123968513393e+01
6.958470432253649960e+03	1.351421060118568107e+02	8.084006471448972775e+01
7.101840499543795886e+03	1.324523376363005696e+02	8.060948924432572937e+01
7.245210566833941812e+03	1.295136584263025270e+02	8.027861209325384095e+01
7.388580634124087737e+03	1.262778882561175635e+02	7.983361995880940754e+01
7.531950701414233663e+03	1.226997485683132112e+02	7.924326807940914819e+01
7.675320768704379589e+03	1.187351293533495635e+02	7.845066992363157965e+01
7.818690835994525514e+03	1.143020907700661866e+02	7.740514563837967899e+01
7.962060903284671440e+03	1.093105127890317902e+02	7.607190452484059051e+01
8.105430970574817366e+03	1.038521123802130859e+02	7.452826108237434255e+01
8.248801037864963291e+03	9.737344523861590062e+01	7.242428901861347867e+01
8.392171105155110126e+03	8.853519928841046749e+01	6.922636770064306688e+01
8.535541172445255143e+03	8.021167883211681726e+01	6.500000000000000000e+01
