# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
1.052181512317518354e+04	2.647226277372262757e+02	8.020000000000000284e+01
1.065301023608576725e+04	2.628977734836767013e+02	8.028702301156693011e+01
1.078420534899635095e+04	2.610066992914730122e+02	8.037038042766349122e+01
1.091540046190693465e+04	2.590397964299780256e+02	8.044746629143460837e+01
1.104659557481751835e+04	2.569874561685546155e+02	8.051567464602521795e+01
1.117779068772810206e+04	2.548400697765655991e+02	8.057239953458024218e+01
1.130898580063868576e+04	2.525880285233739642e+02	8.061503500024460322e+01
1.144018091354927128e+04	2.502217236783424710e+02	8.064097508616322330e+01
1.157137602645985498e+04	2.477315465108341073e+02	8.064761383548105300e+01
1.170257113937043869e+04	2.451078882902116618e+02	8.063234529134300033e+01
1.183376625228102239e+04	2.423411402858380654e+02	8.059256349689400167e+01
1.196496136519160609e+04	2.394216937670761638e+02	8.052566249527896503e+01
1.209615647810218979e+04	2.363399400032888593e+02	8.042903632964284100e+01
1.222735159101277350e+04	2.330862702638389976e+02	8.030007904313056599e+01
1.235854670392335720e+04	2.296510758180894243e+02	8.013618467888703378e+01
1.248974181683394090e+04	2.260239285782908780e+02	7.993456171096053708e+01
1.262093692974452460e+04	2.221327477689444265e+02	7.967845543006802700e+01
1.275213204265510831e+04	2.178019188278587421e+02	7.932766265618913337e+01
1.288332715556569383e+04	2.128461801477801316e+02	7.883978627076109547e+01
1.301452226847627753e+04	2.071014345869487272e+02	7.817648693022047723e+01
1.314571738138686123e+04	2.004400318191876238e+02	7.730641308746484697e+01
1.327691249429744494e+04	1.927434004040881348e+02	7.618811636823009792e+01
1.340810760720802864e+04	1.839389919239685867e+02	7.466705576955470747e+01
1.353930272011861234e+04	1.715653658478250350e+02	7.216320315913560535e+01
1.367049783302919604e+04	1.486204379562043698e+02	6.700000000000000000e+01
