# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
6.676984489051095807e+03	2.023357664233576827e+02	7.950000000000000000e+01
6.837732141499393038e+03	2.002030384020726785e+02	8.004772035380592854e+01
6.998479793947689359e+03	1.986440655206415613e+02	8.034446506440843905e+01
7.159227446395985680e+03	1.971633871161418199e+02	8.051005187640758720e+01
7.319975098844282911e+03	1.953882166411042363e+02	8.064015297251673076e+01
7.480722751292580142e+03	1.933420336561323154e+02	8.075244471864060358e+01
7.641470403740876463e+03	1.911281814920237707e+02	8.084888414495766540e+01
7.802218056189172785e+03	1.888500034795762303e+02	8.093142828164646119e+01
7.962965708637470016e+03	1.866108418172950394e+02	8.100203409408140942e+01
8.123713361085767247e+03	1.844727095820783234e+02	8.106029317504601295e+01
8.284461013534062658e+03	1.823470063560110646e+02	8.109717711722180411e+01
8.445208665982359889e+03	1.801108324621625911e+02	8.110169447792905828e+01
8.605956318430657120e+03	1.776412882236024018e+02	8.106285381448799399e+01
8.766703970878954351e+03	1.748159892275618290e+02	8.096965278797129884e+01
8.927451623327251582e+03	1.715678292014233648e+02	8.080992009730815084e+01
9.088199275775546994e+03	1.679334538893301954e+02	8.056929040632489603e+01
9.248946928223844225e+03	1.639609411267076950e+02	8.023315662538279014e+01
9.409694580672141456e+03	1.596906275450362784e+02	7.978508783730242726e+01
9.570442233120436867e+03	1.549286991236680819e+02	7.915348723455707614e+01
9.731189885568734098e+03	1.493332755594558137e+02	7.823189576905728870e+01
9.891937538017031329e+03	1.434283641084201690e+02	7.711801723001168796e+01
1.005268519046532856e+04	1.376426029374397615e+02	7.585024446496419159e+01
1.021343284291362579e+04	1.300569495852282103e+02	7.376839986421839512e+01
1.037418049536192120e+04	1.206463027718847769e+02	7.121801176893933416e+01
1.053492814781021843e+04	1.064671532846714825e+02	6.500000000000000000e+01
