# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
2.040605846770869675e+03	4.497315077702955932e+01	7.299999999999995737e+01
2.110707362172905960e+03	4.515163280989638395e+01	7.345208565673988232e+01
2.180808877574942471e+03	4.529057329234267826e+01	7.379736720800897842e+01
2.250910392976978983e+03	4.538869875103112150e+01	7.407381564288550635e+01
2.321011908379015040e+03	4.544473571262440714e+01	7.431364010172326573e+01
2.391113423781051551e+03	4.545741070378522863e+01	7.454328787615162355e+01
2.461214939183088063e+03	4.542545025117627233e+01	7.478344440907540047e+01
2.531316454585124120e+03	4.534758088146023880e+01	7.504903329467502715e+01
2.601417969987160632e+03	4.522252912129981439e+01	7.534921627840640213e+01
2.671519485389197143e+03	4.504902149735769257e+01	7.568739325700096288e+01
2.741621000791233200e+03	4.482578453629655968e+01	7.606120227846570003e+01
2.811722516193269712e+03	4.455154476477911629e+01	7.646251954208310053e+01
2.881824031595306224e+03	4.422502870946804165e+01	7.687745939841120446e+01
2.951925546997342281e+03	4.384496289702603633e+01	7.728637434928356242e+01
3.022027062399378792e+03	4.341007385411577957e+01	7.766385504780924975e+01
3.092128577801415304e+03	4.291908810739997904e+01	7.797873029837288072e+01
3.162230093203451361e+03	4.237073218354132109e+01	7.819406705663460855e+01
3.232331608605487418e+03	4.176373260920249209e+01	7.826717042953006853e+01
3.302433124007524384e+03	4.109681591104617837e+01	7.814958367527047756e+01
3.372534639409560441e+03	4.036870861573508762e+01	7.778708820334254881e+01
3.442636154811596498e+03	3.957813724993189908e+01	7.711970357450853442e+01
3.512737670213633464e+03	3.872382834029930621e+01	7.608168750080619702e+01
3.582839185615669521e+03	3.780450841350000246e+01	7.460153584554885242e+01
3.652940701017705578e+03	3.681890399619668131e+01	7.260198262332532693e+01
3.723042216419742090e+03	3.576574161505202198e+01	6.999999999999995737e+01
