# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
4.132793837709454237e+03	8.399947575631608743e+01	7.296562410424067480e+01
4.217055484136791165e+03	8.395313576931094701e+01	7.370255934055553837e+01
4.301317130564128092e+03	8.386264785790397980e+01	7.435715376333791937e+01
4.385578776991465929e+03	8.372550923376178389e+01	7.493749327461343057e+01
4.469840423418802857e+03	8.353921710855095739e+01	7.545075070558222308e+01
4.554102069846139784e+03	8.330126869393812683e+01	7.590318581661904318e+01
4.638363716273476712e+03	8.300916120158989031e+01	7.630014529727316130e+01
4.722625362700813639e+03	8.266039184317286015e+01	7.664606276626842885e+01
4.806887009128151476e+03	8.225245783035363445e+01	7.694445877150324975e+01
4.891148655555488403e+03	8.178285637479882553e+01	7.719794079005059473e+01
4.975410301982825331e+03	8.124908468817504570e+01	7.740820322815797283e+01
5.059671948410162258e+03	8.064863998214889307e+01	7.757602742124750250e+01
5.143933594837499186e+03	7.997901946838697995e+01	7.770128163391579790e+01
5.228195241264837023e+03	7.923772035855590445e+01	7.778292105993408256e+01
5.312456887692173950e+03	7.842223986432229310e+01	7.781898782224813260e+01
5.396718534119510878e+03	7.753007519735274400e+01	7.780661097297824824e+01
5.480980180546847805e+03	7.655872356931385525e+01	7.774200649341935332e+01
5.565241826974184733e+03	7.550568219187225338e+01	7.762047729404086738e+01
5.649503473401522569e+03	7.436844827669450808e+01	7.743641321448681936e+01
5.733765119828859497e+03	7.314451903544727429e+01	7.718329102357576232e+01
5.818026766256196424e+03	7.183139167979713591e+01	7.685367441930083032e+01
5.902288412683533352e+03	7.042656342141070525e+01	7.643921402882972416e+01
5.986550059110870279e+03	6.892753147195458041e+01	7.593064740850468297e+01
6.070811705538208116e+03	6.733179304309535951e+01	7.531779904384251267e+01
6.155073351965545044e+03	6.563684534649969748e+01	7.458958034953461436e+01
