# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
4.839439205934295387e+03	1.020254516138459024e+02	7.099550356653796257e+01
4.923808608596537852e+03	1.016337532033781628e+02	7.146452590691175999e+01
5.008178011258780316e+03	1.013033168667673891e+02	7.195540206711422115e+01
5.092547413921022780e+03	1.010211388987882373e+02	7.245618377747382510e+01
5.176916816583265245e+03	1.007742155942153204e+02	7.295581023901084450e+01
5.261286219245507709e+03	1.005495432478232374e+02	7.344410812343737405e+01
5.345655621907750174e+03	1.003341181543866441e+02	7.391179157315734471e+01
5.430025024569992638e+03	1.001149366086801535e+02	7.435046220126648109e+01
5.514394427232235103e+03	9.987899490547837900e+01	7.475260909155237243e+01
5.598763829894477567e+03	9.961328933955596199e+01	7.511160879849440164e+01
5.683133232556720031e+03	9.930481620568750145e+01	7.542172534726374522e+01
5.767502635218961586e+03	9.894057179864765317e+01	7.567811023372345858e+01
5.851872037881204960e+03	9.850755241321100186e+01	7.587680242442836231e+01
5.936241440543446515e+03	9.799275434415220332e+01	7.601472835662512750e+01
6.020610843205688980e+03	9.738317388624585647e+01	7.608970193825224726e+01
6.104980245867931444e+03	9.666580733426661709e+01	7.610042454794002253e+01
6.189349648530173909e+03	9.582765098298906992e+01	7.604648503501056211e+01
6.273719051192416373e+03	9.485570112718785651e+01	7.592835971947783946e+01
6.358088453854658837e+03	9.373695406163761845e+01	7.574741239204760745e+01
6.442457856516901302e+03	9.245840608111294046e+01	7.550589431411744101e+01
6.526827259179143766e+03	9.100705348038846410e+01	7.520694421777676553e+01
6.611196661841386231e+03	8.936989255423883094e+01	7.485458830580680001e+01
6.695566064503628695e+03	8.753391959743862571e+01	7.445374025168058552e+01
6.779935467165871160e+03	8.548613090476251841e+01	7.401020119956301357e+01
6.864304869828113624e+03	8.321352277098510797e+01	7.353065976431074091e+01
